"CNTSCHID" "PV1MATH" "PV1READ" "PV1SCIE" "ESCS" "TMINS" "Region"
"14256" 82600007 539.299 520.231 576.413 -0.4932 1750 82611
"14257" 82600007 477.883 487.974 514.96 -1.214 1750 82611
"14258" 82600007 505.094 522.724 501.387 -0.0184 1750 82611
"14259" 82600007 521.409 582.163 515.093 0.7378 2520 82611
"14260" 82600007 616.253 620.656 626.085 0.4724 1750 82611
"14261" 82600007 558.322 720.387 693.967 1.5648 1750 82611
"14262" 82600007 417.823 465.176 463.127 -0.6096 1500 82611
"14263" 82600007 636.661 582.07 561.659 0.5344 1750 82611
"14264" 82600007 413.498 438.321 411.885 NA NA 82611
"14265" 82600007 479.545 499.382 515.049 -0.0114 2450 82611
"14266" 82600007 436.209 419.744 335.352 NA 1500 82611
"14267" 82600007 611.524 585.891 635.432 1.2125 1800 82611
"14268" 82600007 398.223 341.607 400.774 0.6314 NA 82611
"14269" 82600007 553.355 426.099 521.114 -0.5301 1500 82611
"14270" 82600007 484.844 496.054 557.601 0.6365 1500 82611
"14271" 82600007 465.771 518.627 508.272 0.3463 1750 82611
"14272" 82600007 627.824 598.699 624.13 0.223 1750 82611
"14273" 82600007 540.483 504.814 548.711 -0.0699 1500 82611
"14274" 82600007 706.436 681.525 705.41 1.2577 1800 82611
"14275" 82600007 543.137 569.206 588.919 -1.2565 1750 82611
"14276" 82600007 497.26 610.569 504.104 0.9386 1800 82611
"14277" 82600007 419.318 365.927 383.1 -0.7702 NA 82611
"14278" 82600007 660.024 643.485 657.162 -0.5988 1750 82611
"14279" 82600007 449.15 513.221 489.722 -1.4872 2100 82611
"14280" 82600007 549.879 547.969 537.901 -0.0985 1500 82611
"14281" 82600007 373.323 286.676 336.732 0.8233 1500 82611
"14282" 82600007 510.203 536.922 536.277 1.6079 1500 82611
"14283" 82600007 589.625 524.832 603.052 1.019 1750 82611
"14284" 82600007 373.194 429.35 446.509 -0.8817 1595 82611
"14285" 82600007 488.291 486.555 447.718 -0.0637 1400 82611
