Contents,,,,,,,,,,,,,,,,,,,
UK summary - positivity,,,,,,,,,,,,,,,,,,,
"Official reported estimates of the percentage of the population testing positive for COVID-19, UK countries",,,,,,,,,,,,,,,,,,,
27 April 2020 to 13 February 2022,,,,,,,,,,,,,,,,,,,
England,,,,,Wales,,,,,Northern Ireland,,,,,Scotland,,,,
Time period,Estimated average % of the population that had COVID-19,95% Lower confidence/credible interval,95% Upper confidence/credible interval,Method,$'UK summary - positivity'.$B$1:$B$1048576,Estimated average % of the population that had COVID-19,95% Lower credible interval,95% Upper credible interval,Method,Time period,Estimated average % of the population that had COVID-19,95% Lower confidence/credible interval,95% Upper confidence/credible interval,Method,Time period,Estimated average % of the population that had COVID-19,95% Lower confidence/credible interval,95% Upper confidence/credible interval,Method
15 November 2020 to 21 November 2020 ,1.16,1.10,1.23,modelled weekly estimates,15 November 2020 to 21 November 2020,0.54,0.34,0.78,modelled weekly estimates,15 November 2020 to 21 November 2020,0.69,0.44,1.01,modelled weekly estimates,15 November 2020 to 21 November 2020,0.87,0.67,1.10,modelled weekly estimates
22 November 2020 to 28 November 2020 ,0.96,0.90,1.01,modelled weekly estimates,22 November 2020 to 28 November 2020,0.60,0.40,0.84,modelled weekly estimates,22 November 2020 to 28 November 2020,0.52,0.33,0.77,modelled weekly estimates,22 November 2020 to 28 November 2020,0.78,0.60,0.98,modelled weekly estimates
29 November 2020 to 05 December 2020 ,0.88,0.83,0.94,modelled weekly estimates,29 November 2020 to 05 December 2020,0.84,0.57,1.17,modelled weekly estimates,29 November 2020 to 05 December 2020,0.43,0.24,0.66,modelled weekly estimates,29 November 2020 to 05 December 2020,0.82,0.61,1.06,modelled weekly estimates
06 December 2020 to 12 December 2020 ,1.04,0.98,1.10,modelled weekly estimates,06 December 2020 to 12 December 2020,1.10,0.78,1.46,modelled weekly estimates,06 December 2020 to 12 December 2020,0.47,0.28,0.71,modelled weekly estimates,06 December 2020 to 12 December 2020,1.00,0.79,1.23,modelled weekly estimates
12 December 2020 to 18 December 2020,1.18,1.12,1.25,modelled weekly estimates,12 December 2020 to 18 December 2020,1.72,1.34,2.15,modelled weekly estimates,12 December 2020 to 18 December 2020,0.55,0.33,0.81,modelled weekly estimates,12 December 2020 to 18 December 2020,0.71,0.55,0.88,modelled weekly estimates
17 December 2020 to 23 December 2020 ,1.47,1.40,1.54,modelled weekly estimates,17 December 2020 to 23 December 2020,1.91,1.50,2.37,modelled weekly estimates,16 December 2020 to 22 December 2020,0.43,0.24,0.70,modelled weekly estimates,16 December 2020 to 22 December 2020,0.69,0.54,0.85,modelled weekly estimates
27 December 2020 to 02 January 2021,2.06,1.96,2.16,modelled weekly estimates,27 December 2020 to 02 January 2021,1.45,1.11,1.85,modelled weekly estimates,27 December 2020 to 02 January 2021,0.50,0.29,0.77,modelled weekly estimates,27 December 2020 to 02 January 2021,0.87,0.72,1.04,modelled weekly estimates
03 January 2021 to 09 January 2021,2.08,2.00,2.17,modelled weekly estimates,03 January 2021 to 09 January 2021,1.45,1.15,1.78,modelled weekly estimates,03 January 2021 to 09 January 2021,1.20,0.91,1.53,modelled weekly estimates,03 January 2021 to 09 January 2021,1.06,0.88,1.27,modelled weekly estimates
10 January 2021 to 16 January 2021,1.88,1.80,1.96,modelled weekly estimates,10 January 2021 to 16 January 2021,1.45,1.18,1.74,modelled weekly estimates,10 January 2021 to 16 January 2021,1.60,1.25,1.99,modelled weekly estimates,10 January 2021 to 16 January 2021,0.99,0.84,1.15,modelled weekly estimates
17 January 2021 to 23 January 2021,1.87,1.79,1.95,modelled weekly estimates,17 January 2021 to 23 January 2021,1.43,1.19,1.70,modelled weekly estimates,17 January 2021 to 23 January 2021,2.01,1.66,2.39,modelled weekly estimates,17 January 2021 to 23 January 2021,0.92,0.79,1.06,modelled weekly estimates
24 January 2021 to 30 January 2021,1.55,1.48,1.63,modelled weekly estimates,24 January 2021 to 30 January 2021,1.40,1.19,1.63,modelled weekly estimates,24 January 2021 to 30 January 2021,1.56,1.29,1.88,modelled weekly estimates,24 January 2021 to 30 January 2021,0.88,0.75,1.01,modelled weekly estimates
31 January 2021 to 06 February 2021,1.28,1.21,1.34,modelled weekly estimates,31 January 2021 to 06 February 2021,1.16,0.98,1.37,modelled weekly estimates,31 January 2021 to 06 February 2021,1.33,1.08,1.61,modelled weekly estimates,31 January 2021 to 06 February 2021,0.67,0.57,0.78,modelled weekly estimates
06 February 2021 to 12 February 2021,0.88,0.83,0.94,modelled weekly estimates,06 February 2021 to 12 February 2021,0.81,0.66,0.97,modelled weekly estimates,06 February 2021 to 12 February 2021,0.97,0.76,1.22,modelled weekly estimates,06 February 2021 to 12 February 2021,0.55,0.46,0.66,modelled weekly estimates
13 February 2021 to 19 February 2021,0.69,0.64,0.74,modelled weekly estimates,13 February 2021 to 19 February 2021,0.48,0.36,0.62,modelled weekly estimates,13 February 2021 to 19 February 2021,0.52,0.36,0.71,modelled weekly estimates,13 February 2021 to 19 February 2021,0.45,0.35,0.55,modelled weekly estimates
21 February 2021 to 27 February 2021,0.45,0.41,0.50,modelled weekly estimates,21 February 2021 to 27 February 2021,0.35,0.24,0.49,modelled weekly estimates,20 February 2021 to 26 February 2021,0.31,0.18,0.48,modelled weekly estimates,21 February 2021 to 27 February 2021,0.30,0.21,0.40,modelled weekly estimates
28 February 2021 to 06 March 2021,0.37,0.33,0.41,modelled weekly estimates,28 February 2021 to 06 March 2021,0.27,0.18,0.39,modelled weekly estimates,28 February 2021 to 06 March 2021,0.32,0.19,0.50,modelled weekly estimates,28 February 2021 to 06 March 2021,0.31,0.22,0.42,modelled weekly estimates
07 March 2021 to 13 March 2021,0.29,0.26,0.33,modelled weekly estimates,07 March 2021 to 13 March 2021,0.23,0.14,0.35,modelled weekly estimates,07 March 2021 to 13 March 2021,0.32,0.18,0.51,modelled weekly estimates,07 March 2021 to 13 March 2021,0.37,0.27,0.49,modelled weekly estimates
14 March 2021 to 20 March 2021,0.30,0.26,0.34,modelled weekly estimates,14 March 2021 to 20 March 2021,0.22,0.13,0.34,modelled weekly estimates,14 March 2021 to 20 March 2021,0.32,0.17,0.52,modelled weekly estimates,14 March 2021 to 20 March 2021,0.41,0.30,0.54,modelled weekly estimates
21 March 2021 to 27 March 2021,0.27,0.24,0.31,modelled weekly estimates,21 March 2021 to 27 March 2021,0.18,0.09,0.29,modelled weekly estimates,21 March 2021 to 27 March 2021,0.45,0.25,0.70,modelled weekly estimates,21 March 2021 to 27 March 2021,0.32,0.21,0.45,modelled weekly estimates
28 March 2021 to 03 April 2021,0.30,0.26,0.34,modelled weekly estimates,28 March 2021 to 03 April 2021,0.12,0.06,0.21,modelled weekly estimates,28 March 2021 to 03 April 2021,0.33,0.17,0.54,modelled weekly estimates,28 March 2021 to 03 April 2021,0.25,0.16,0.36,modelled weekly estimates
04 April 2021 to 10 April 2021,0.21,0.18,0.24,modelled weekly estimates,04 April 2021 to 10 April 2021,0.11,0.05,0.20,modelled weekly estimates,04 April 2021 to 10 April 2021,0.14,0.05,0.28,modelled weekly estimates,04 April 2021 to 10 April 2021,0.20,0.12,0.30,modelled weekly estimates
10 April 2021 to 16 April 2021,0.17,0.14,0.19,modelled weekly estimates,10 April 2021 to 16 April 2021,0.12,0.06,0.21,modelled weekly estimates,10 April 2021 to 16 April 2021,0.15,0.06,0.29,modelled weekly estimates,10 April 2021 to 16 April 2021,0.18,0.10,0.27,modelled weekly estimates
18 April 2021 to 24 April 2021,0.10,0.08,0.12,modelled weekly estimates,18 April 2021 to 24 April 2021,0.06,0.02,0.14,modelled weekly estimates,18 April 2021 to 24 April 2021,0.11,0.03,0.22,modelled weekly estimates,18 April 2021 to 24 April 2021,0.16,0.09,0.25,modelled weekly estimates
26 April 2021 to 02 May 2021,0.08,0.07,0.10,modelled weekly estimates,26 April 2021 to 02 May 2021,0.05,0.01,0.11,modelled weekly estimates,26 April 2021 to 02 May 2021,0.13,0.05,0.27,modelled weekly estimates,26 April 2021 to 02 May 2021,0.13,0.07,0.22,modelled weekly estimates
02 May 2021 to 08 May 2021,0.07,0.06,0.09,modelled weekly estimates,02 May 2021 to 08 May 2021,0.02,0.00,0.06,modelled weekly estimates,02 May 2021 to 08 May 2021,0.07,0.02,0.16,modelled weekly estimates,02 May 2021 to 08 May 2021,0.08,0.04,0.15,modelled weekly estimates
09 May 2021 to 15 May 2021,0.09,0.07,0.11,modelled weekly estimates,09 May 2021 to 15 May 2021,0.02,0.00,0.07,modelled weekly estimates,09 May 2021 to 15 May 2021,0.06,0.01,0.16,modelled weekly estimates,09 May 2021 to 15 May 2021,0.05,0.02,0.10,modelled weekly estimates
16 May 2021 to 22 May 2021,0.09,0.07,0.11,modelled weekly estimates,16 May 2021 to 22 May 2021,0.03,0.00,0.07,modelled weekly estimates,16 May 2021 to 22 May 2021,0.12,0.04,0.27,modelled weekly estimates,16 May 2021 to 22 May 2021,0.16,0.08,0.26,modelled weekly estimates
23 May 2021 to 29 May 2021,0.16,0.13,0.19,modelled weekly estimates,23 May 2021 to 29 May 2021,0.10,0.03,0.19,modelled weekly estimates,23 May 2021 to 29 May 2021,0.12,0.04,0.26,modelled weekly estimates,23 May 2021 to 29 May 2021,0.15,0.08,0.24,modelled weekly estimates
30 May 2021 to 05 June 2021,0.18,0.15,0.21,modelled weekly estimates,30 May 2021 to 05 June 2021,0.08,0.03,0.16,modelled weekly estimates,30 May 2021 to 05 June 2021,0.14,0.05,0.28,modelled weekly estimates,30 May 2021 to 05 June 2021,0.18,0.11,0.28,modelled weekly estimates
06 June 2021 to 12 June 2021,0.19,0.16,0.23,modelled weekly estimates,06 June 2021 to 12 June 2021,0.07,0.02,0.14,modelled weekly estimates,06 June 2021 to 12 June 2021,0.16,0.06,0.32,modelled weekly estimates,06 June 2021 to 12 June 2021,0.17,0.09,0.27,modelled weekly estimates
13 June 2021 to 19 June 2021,0.22,0.19,0.26,modelled weekly estimates,13 June 2021 to 19 June 2021,0.12,0.05,0.22,modelled weekly estimates,13 June 2021 to 19 June 2021,0.14,0.05,0.29,modelled weekly estimates,13 June 2021 to 19 June 2021,0.46,0.32,0.64,modelled weekly estimates
20 June 2021 to 26 June 2021,0.39,0.34,0.44,modelled weekly estimates,20 June 2021 to 26 June 2021,0.22,0.12,0.36,modelled weekly estimates,20 June 2021 to 26 June 2021,0.15,0.06,0.30,modelled weekly estimates,20 June 2021 to 26 June 2021,0.68,0.50,0.90,modelled weekly estimates
27 June 2021 to 03 July 2021,0.61,0.54,0.68,modelled weekly estimates,27 June 2021 to 03 July 2021,0.30,0.17,0.45,modelled weekly estimates,27 June 2021 to 03 July 2021,0.33,0.16,0.57,modelled weekly estimates,27 June 2021 to 03 July 2021,1.01,0.78,1.27,modelled weekly estimates
04 July 2021 to 10 July 2021,1.06,0.98,1.15,modelled weekly estimates,04 July 2021 to 10 July 2021,0.28,0.16,0.42,modelled weekly estimates,04 July 2021 to 10 July 2021,0.34,0.17,0.59,modelled weekly estimates,04 July 2021 to 10 July 2021,1.14,0.91,1.40,modelled weekly estimates
11 July 2021 to 17 July 2021,1.36,1.26,1.46,modelled weekly estimates,11 July 2021 to 17 July 2021,0.47,0.31,0.67,modelled weekly estimates,11 July 2021 to 17 July 2021,0.59,0.31,0.98,modelled weekly estimates,11 July 2021 to 17 July 2021,1.24,0.98,1.53,modelled weekly estimates
18 July 2021 to 24 July 2021,1.57,1.46,1.68,modelled weekly estimates,18 July 2021 to 24 July 2021,0.62,0.42,0.86,modelled weekly estimates,18 July 2021 to 24 July 2021,1.48,0.99,2.08,modelled weekly estimates,18 July 2021 to 24 July 2021,0.94,0.73,1.18,modelled weekly estimates
25 July 2021 to 31 July 2021,1.32,1.23,1.42,modelled weekly estimates,25 July 2021 to 31 July 2021,0.43,0.27,0.63,modelled weekly estimates,25 July 2021 to 31 July 2021,1.87,1.35,2.48,modelled weekly estimates,25 July 2021 to 31 July 2021,0.82,0.63,1.03,modelled weekly estimates
31 July 2021 to 06 August 2021,1.33,1.25,1.43,modelled weekly estimates,01 August 2021 to 07 August 2021,0.46,0.29,0.67,modelled weekly estimates,01 August 2021 to 07 August 2021,1.88,1.39,2.43,modelled weekly estimates,01 August 2021 to 07 August 2021,0.53,0.39,0.72,modelled weekly estimates
08 August 2021 to 14 August 2021,1.28,1.19,1.37,modelled weekly estimates,08 August 2021 to 14 August 2021,0.77,0.55,1.05,modelled weekly estimates,08 August 2021 to 14 August 2021,1.92,1.43,2.48,modelled weekly estimates,08 August 2021 to 14 August 2021,0.49,0.35,0.66,modelled weekly estimates
14 August 2021 to 20 August 2021,1.39,1.30,1.48,modelled weekly estimates,14 August 2021 to 20 August 2021,0.83,0.59,1.10,modelled weekly estimates,14 August 2021 to 20 August 2021,2.36,1.83,2.94,modelled weekly estimates,14 August 2021 to 20 August 2021,0.70,0.53,0.90,modelled weekly estimates
21 August 2021 to 27 August 2021,1.41,1.31,1.51,modelled weekly estimates,22 August 2021 to 28 August 2021,0.92,0.66,1.26,modelled weekly estimates,22 August 2021 to 28 August 2021,1.56,1.10,2.09,modelled weekly estimates,22 August 2021 to 28 August 2021,1.32,1.06,1.61,modelled weekly estimates
28 August 2021 to 03 September 2021,1.38,1.29,1.48,modelled weekly estimates,28 August 2021 to 03 September 2021,1.54,1.17,1.96,modelled weekly estimates,28 August 2021 to 03 September 2021,1.74,1.26,2.28,modelled weekly estimates,28 August 2021 to 03 September 2021,2.23,1.87,2.61,modelled weekly estimates
05 September 2021 to 11 September 2021,1.28,1.19,1.36,modelled weekly estimates,05 September 2021 to 11 September 2021,1.62,1.27,2.01,modelled weekly estimates,05 September 2021 to 11 September 2021,1.36,0.97,1.83,modelled weekly estimates,05 September 2021 to 11 September 2021,2.29,1.94,2.67,modelled weekly estimates
12 September 2021 to 18 September 2021,1.14,1.06,1.22,modelled weekly estimates,12 September 2021 to 18 September 2021,1.67,1.31,2.06,modelled weekly estimates,12 September 2021 to 18 September 2021,1.65,1.24,2.14,modelled weekly estimates,12 September 2021 to 18 September 2021,2.28,1.92,2.69,modelled weekly estimates
